no_helmet_count,no_vest_count,past_incidents,high_risk_zone,risk_level
3,0,1,1,High
4,5,0,0,High
2,5,1,1,High
4,4,1,0,High
4,1,2,1,High
1,1,3,0,High
2,5,3,1,High
2,4,1,1,High
2,3,2,1,High
4,1,1,1,High
3,3,1,1,High
2,1,1,0,Medium
5,1,2,1,High
4,2,3,1,High
1,1,2,1,High
3,0,0,0,Medium
5,4,2,1,High
5,4,2,0,High
1,3,2,1,High
3,1,2,1,High
4,0,3,0,High
0,3,0,1,Medium
3,2,3,0,High
1,3,3,0,High
5,3,2,1,High
4,1,1,0,High
3,2,1,1,High
0,3,3,1,High
0,0,3,0,Medium
2,0,2,0,High
2,4,3,0,High
1,2,2,0,High
3,2,1,1,High
3,4,1,1,High
5,3,0,0,High
5,2,1,1,High
5,0,3,1,High
2,0,1,1,High
3,1,2,1,High
3,2,1,0,High
0,3,0,0,Low
2,4,1,1,High
4,4,2,0,High
2,3,2,0,High
4,5,3,0,High
0,1,1,1,Medium
1,4,2,1,High
3,2,0,1,High
0,1,3,0,High
3,2,0,1,High
5,0,1,1,High
1,1,1,0,Medium
1,4,1,1,High
0,1,3,1,High
1,1,2,0,Medium
4,1,3,0,High
1,5,0,0,High
3,1,3,1,High
3,2,0,1,High
3,0,3,1,High
3,3,2,0,High
4,1,0,0,High
2,4,1,1,High
5,1,1,1,High
0,4,3,0,High
3,2,1,0,High
1,4,0,0,Medium
3,3,1,0,High
1,0,2,1,High
5,4,2,0,High
5,4,3,1,High
5,0,0,1,High
1,3,2,1,High
3,1,2,0,High
5,4,0,0,High
4,0,1,0,High
1,2,1,0,Medium
1,0,3,1,High
3,2,1,0,High
1,3,0,0,Medium
1,1,2,1,High
5,0,1,0,High
3,5,3,1,High
5,4,1,1,High
5,3,0,1,High
3,0,3,1,High
0,4,1,1,High
5,0,3,1,High
4,2,0,1,High
4,0,2,1,High
1,5,0,0,High
4,0,0,0,Medium
1,0,0,0,Low
0,5,0,0,Medium
3,3,2,1,High
3,0,2,0,High
3,5,3,1,High
4,4,1,0,High
0,2,2,0,Medium
4,2,2,0,High
4,0,1,1,High
0,3,2,0,High
0,3,0,1,Medium
0,4,0,1,Medium
0,0,1,0,Low
3,2,3,0,High
2,3,3,0,High
2,0,1,1,High
0,3,1,0,Medium
2,5,0,1,High
2,3,3,1,High
0,2,2,0,Medium
2,1,0,0,Medium
4,4,1,1,High
1,4,3,1,High
1,2,2,1,High
0,3,2,0,High
3,0,0,1,Medium
0,3,3,0,High
3,2,3,1,High
1,4,1,1,High
0,3,3,0,High
5,4,3,1,High
4,0,0,0,High
2,4,3,0,High
3,4,2,1,High
5,1,0,0,High
2,1,0,0,Medium
2,5,1,1,High
0,1,3,0,Medium
2,4,1,0,High
